icaoCode,type,trafficType,runways,elevation_m,latitude_deg,longitude_deg,geometry
EKYT,0,"[0, 1]","[{'designator': '08R', 'trueHeading': 80, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '052/F/D/X/U'}, 'dimension': {'length': {'value': 2549, 'unit': 0}, 'width': {'value': 23, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 2549, 'unit': 0}, 'lda': {'value': 2549, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148a25e9ded571043eacf'}, {'designator': '26L', 'trueHeading': 260, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '052/F/D/X/U'}, 'dimension': {'length': {'value': 2549, 'unit': 0}, 'width': {'value': 23, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 2549, 'unit': 0}, 'lda': {'value': 2549, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148a25e9ded571043ead0'}, {'designator': '08L', 'trueHeading': 80, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '066/F/D/W/T'}, 'dimension': {'length': {'value': 2650, 'unit': 0}, 'width': {'value': 45, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 2650, 'unit': 0}, 'lda': {'value': 2650, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148a25e9ded571043ead1'}, {'designator': '26R', 'trueHeading': 260, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '066/F/D/W/T'}, 'dimension': {'length': {'value': 2650, 'unit': 0}, 'width': {'value': 45, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 2650, 'unit': 0}, 'lda': {'value': 2650, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148a25e9ded571043ead2'}]",3,57.0928,9.8492,POINT (9.8492 57.0928)
EKGH,2,[0],"[{'designator': '11', 'trueHeading': 110, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 1019, 'unit': 0}, 'width': {'value': 17, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1019, 'unit': 0}, 'lda': {'value': 1019, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a75e9ded571043ec66'}, {'designator': '29', 'trueHeading': 290, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 1019, 'unit': 0}, 'width': {'value': 17, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1019, 'unit': 0}, 'lda': {'value': 1019, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a75e9ded571043ec67'}]",30,55.939722222222,12.381944444444,POINT (12.381944444444 55.939722222222)
EKHV,2,[0],"[{'designator': '10', 'trueHeading': 100, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 1120, 'unit': 0}, 'width': {'value': 23, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1120, 'unit': 0}, 'lda': {'value': 1120, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a75e9ded571043ec78'}, {'designator': '28', 'trueHeading': 280, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 1120, 'unit': 0}, 'width': {'value': 23, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1120, 'unit': 0}, 'lda': {'value': 1120, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a75e9ded571043ec79'}]",25,55.3022,9.5225,POINT (9.522500000000001 55.3022)
EKHG,2,[0],"[{'designator': '15', 'trueHeading': 152, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [2], 'mainComposite': 2, 'condition': 0}, 'dimension': {'length': {'value': 667, 'unit': 0}, 'width': {'value': 30, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 537, 'unit': 0}, 'lda': {'value': 537, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a81eacded7b7bb3ff0'}, {'designator': '33', 'trueHeading': 332, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [2], 'mainComposite': 2, 'condition': 0}, 'dimension': {'length': {'value': 667, 'unit': 0}, 'width': {'value': 30, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 667, 'unit': 0}, 'lda': {'value': 667, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a81eacded7b7bb3ff1'}, {'designator': '09', 'trueHeading': 92, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '11/F/B/Y/T'}, 'dimension': {'length': {'value': 1199, 'unit': 0}, 'width': {'value': 30, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1199, 'unit': 0}, 'lda': {'value': 1199, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a81eacded7b7bb3ff2'}, {'designator': '27', 'trueHeading': 272, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '11/F/B/Y/T'}, 'dimension': {'length': {'value': 1199, 'unit': 0}, 'width': {'value': 30, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1199, 'unit': 0}, 'lda': {'value': 1199, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a81eacded7b7bb3ff3'}]",51,56.1847,9.0444,POINT (9.0444 56.1847)
EKKL,2,[0],"[{'designator': '09', 'trueHeading': 90, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 690, 'unit': 0}, 'width': {'value': 18, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 690, 'unit': 0}, 'lda': {'value': 690, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a81eacded7b7bb4066'}, {'designator': '27', 'trueHeading': 120, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 690, 'unit': 0}, 'width': {'value': 18, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 690, 'unit': 0}, 'lda': {'value': 690, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a81eacded7b7bb4067'}]",7,55.70002777777778,11.25,POINT (11.25 55.70002777777778)
EKKA,0,"[0, 1]","[{'designator': '14', 'trueHeading': 134, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '101/F/C/W/T'}, 'dimension': {'length': {'value': 693, 'unit': 0}, 'width': {'value': 23, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 693, 'unit': 0}, 'lda': {'value': 693, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a95e9ded571043ecc1'}, {'designator': '32', 'trueHeading': 314, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '101/F/C/W/T'}, 'dimension': {'length': {'value': 693, 'unit': 0}, 'width': {'value': 23, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 693, 'unit': 0}, 'lda': {'value': 693, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a95e9ded571043ecc2'}, {'designator': '03', 'trueHeading': 34, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '90/F/C/W/T'}, 'dimension': {'length': {'value': 880, 'unit': 0}, 'width': {'value': 15, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 880, 'unit': 0}, 'lda': {'value': 880, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a95e9ded571043ecc3'}, {'designator': '21', 'trueHeading': 214, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '90/F/C/W/T'}, 'dimension': {'length': {'value': 880, 'unit': 0}, 'width': {'value': 15, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 880, 'unit': 0}, 'lda': {'value': 880, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a95e9ded571043ecc4'}, {'designator': '09', 'trueHeading': 89, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [2], 'mainComposite': 2, 'condition': 0}, 'dimension': {'length': {'value': 850, 'unit': 0}, 'width': {'value': 60, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 850, 'unit': 0}, 'lda': {'value': 850, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a95e9ded571043ecc5'}, {'designator': '27', 'trueHeading': 269, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [2], 'mainComposite': 2, 'condition': 0}, 'dimension': {'length': {'value': 850, 'unit': 0}, 'width': {'value': 60, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 850, 'unit': 0}, 'lda': {'value': 850, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a95e9ded571043ecc6'}, {'designator': '09L', 'trueHeading': 90, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '120/F/B/W/T'}, 'dimension': {'length': {'value': 2992, 'unit': 0}, 'width': {'value': 23, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 2992, 'unit': 0}, 'lda': {'value': 2992, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a95e9ded571043ecc7'}, {'designator': '27R', 'trueHeading': 270, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '120/F/B/W/T'}, 'dimension': {'length': {'value': 2992, 'unit': 0}, 'width': {'value': 23, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 2992, 'unit': 0}, 'lda': {'value': 2992, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a95e9ded571043ecc8'}, {'designator': '09R', 'trueHeading': 90, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '75/F/C/W/T'}, 'dimension': {'length': {'value': 2929, 'unit': 0}, 'width': {'value': 45, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 2929, 'unit': 0}, 'lda': {'value': 2929, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a95e9ded571043ecc9'}, {'designator': '27L', 'trueHeading': 270, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '75/F/C/W/T'}, 'dimension': {'length': {'value': 2929, 'unit': 0}, 'width': {'value': 45, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 2929, 'unit': 0}, 'lda': {'value': 2929, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a95e9ded571043ecca'}]",52,56.297222222222,9.1011111111111,POINT (9.1011111111111 56.297222222222)
EKCH,3,"[0, 1]","[{'designator': '12', 'trueHeading': 119, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '80/F/C/X/U'}, 'dimension': {'length': {'value': 2800, 'unit': 0}, 'width': {'value': 45, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 2365, 'unit': 0}, 'lda': {'value': 2365, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148a91eacded7b7bb409c'}, {'designator': '30', 'trueHeading': 299, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '80/F/C/X/U'}, 'dimension': {'length': {'value': 2800, 'unit': 0}, 'width': {'value': 45, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 2395, 'unit': 0}, 'lda': {'value': 2395, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148a91eacded7b7bb409d'}, {'designator': '04R', 'trueHeading': 37, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '80/F/C/X/U'}, 'dimension': {'length': {'value': 3300, 'unit': 0}, 'width': {'value': 45, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 3300, 'unit': 0}, 'lda': {'value': 3300, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148a91eacded7b7bb409e'}, {'designator': '22L', 'trueHeading': 217, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '80/F/C/X/U'}, 'dimension': {'length': {'value': 3300, 'unit': 0}, 'width': {'value': 45, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 3300, 'unit': 0}, 'lda': {'value': 3300, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148a91eacded7b7bb409f'}, {'designator': '04L', 'trueHeading': 37, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '80/F/C/X/U'}, 'dimension': {'length': {'value': 3000, 'unit': 0}, 'width': {'value': 45, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 3000, 'unit': 0}, 'lda': {'value': 3000, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148a91eacded7b7bb40a0'}, {'designator': '22R', 'trueHeading': 217, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '80/F/C/X/U'}, 'dimension': {'length': {'value': 3000, 'unit': 0}, 'width': {'value': 45, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 3000, 'unit': 0}, 'lda': {'value': 3000, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148a91eacded7b7bb40a1'}]",5,55.618055555556,12.655833333333,POINT (12.655833333333 55.618055555556)
EKPB,2,[0],"[{'designator': '04', 'trueHeading': 44, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '8/F/B/Y/U'}, 'dimension': {'length': {'value': 1074, 'unit': 0}, 'width': {'value': 30, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1018, 'unit': 0}, 'lda': {'value': 1018, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a95e9ded571043ed68'}, {'designator': '22', 'trueHeading': 224, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '8/F/B/Y/U'}, 'dimension': {'length': {'value': 1074, 'unit': 0}, 'width': {'value': 30, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1074, 'unit': 0}, 'lda': {'value': 1074, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148a95e9ded571043ed69'}]",27,54.8703,9.279,POINT (9.279 54.8703)
EKLS,2,[0],"[{'designator': '07', 'trueHeading': 63, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'mtow': {'value': 5.7, 'unit': 9}}, 'dimension': {'length': {'value': 928, 'unit': 0}, 'width': {'value': 23, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 928, 'unit': 0}, 'lda': {'value': 928, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148aa5e9ded571043ed7e'}, {'designator': '25', 'trueHeading': 243, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'mtow': {'value': 5.7, 'unit': 9}}, 'dimension': {'length': {'value': 928, 'unit': 0}, 'width': {'value': 23, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 928, 'unit': 0}, 'lda': {'value': 928, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148aa5e9ded571043ed7f'}]",8,57.2772,11.0001,POINT (11.0001 57.2772)
EKMB,2,[0],"[{'designator': '09', 'trueHeading': 94, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '13/F/D/Y/T'}, 'dimension': {'length': {'value': 1200, 'unit': 0}, 'width': {'value': 30, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1200, 'unit': 0}, 'lda': {'value': 1200, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148aa1eacded7b7bb40f7'}, {'designator': '27', 'trueHeading': 274, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '13/F/D/Y/T'}, 'dimension': {'length': {'value': 1200, 'unit': 0}, 'width': {'value': 30, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1200, 'unit': 0}, 'lda': {'value': 1200, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148aa1eacded7b7bb40f8'}]",5,54.699444444444,11.438611111111,POINT (11.438611111111 54.699444444444)
