icaoCode,type,trafficType,runways,elevation_m,latitude_deg,longitude_deg,geometry
EFAA,2,[0],"[{'designator': '14', 'trueHeading': 140, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 863, 'unit': 0}, 'width': {'value': 10, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 863, 'unit': 0}, 'lda': {'value': 863, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148eb1eacded7b7bb6035'}, {'designator': '32', 'trueHeading': 320, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 863, 'unit': 0}, 'width': {'value': 10, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 863, 'unit': 0}, 'lda': {'value': 863, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148eb1eacded7b7bb6036'}]",225,67.604,23.972,POINT (23.972 67.604)
EFAL,2,[0],"[{'designator': '08', 'trueHeading': 80, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 749, 'unit': 0}, 'width': {'value': 17, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 749, 'unit': 0}, 'lda': {'value': 749, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148eb1eacded7b7bb6062'}, {'designator': '26', 'trueHeading': 260, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 749, 'unit': 0}, 'width': {'value': 17, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 749, 'unit': 0}, 'lda': {'value': 749, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148eb1eacded7b7bb6063'}]",124,62.554444444444,23.568333333333,POINT (23.568333333333 62.554444444444)
EFEU,2,[0],"[{'designator': '11', 'trueHeading': 110, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 850, 'unit': 0}, 'width': {'value': 18, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 850, 'unit': 0}, 'lda': {'value': 850, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ebcb27f42509443419'}, {'designator': '29', 'trueHeading': 290, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 850, 'unit': 0}, 'width': {'value': 18, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 850, 'unit': 0}, 'lda': {'value': 850, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ebcb27f4250944341a'}]",79,61.116,22.201,POINT (22.201 61.116)
EFFO,2,[0],"[{'designator': '04', 'trueHeading': 40, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 820, 'unit': 0}, 'width': {'value': 6, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 820, 'unit': 0}, 'lda': {'value': 820, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ebcb27f4250944342b'}, {'designator': '22', 'trueHeading': 220, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 820, 'unit': 0}, 'width': {'value': 6, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 820, 'unit': 0}, 'lda': {'value': 820, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ebcb27f4250944342c'}]",99,60.803611111111,23.650833333333,POINT (23.650833333333 60.803611111111)
EFHP,2,[0],"[{'designator': '12', 'trueHeading': 120, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 769, 'unit': 0}, 'width': {'value': 14, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 769, 'unit': 0}, 'lda': {'value': 769, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ec1eacded7b7bb60d1'}, {'designator': '30', 'trueHeading': 300, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 769, 'unit': 0}, 'width': {'value': 14, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 769, 'unit': 0}, 'lda': {'value': 769, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ec1eacded7b7bb60d2'}]",96,64.112222222222,25.505277777778,POINT (25.505277777778 64.112222222222)
EFHN,2,[0],"[{'designator': '03', 'trueHeading': 30, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 1599, 'unit': 0}, 'width': {'value': 17, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1599, 'unit': 0}, 'lda': {'value': 1599, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ec1eacded7b7bb6106'}, {'designator': '21', 'trueHeading': 210, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 1599, 'unit': 0}, 'width': {'value': 17, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1599, 'unit': 0}, 'lda': {'value': 1599, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ec1eacded7b7bb6107'}]",6,59.848333333333,23.085277777778,POINT (23.085277777778 59.848333333333)
EFHK,3,"[0, 1]","[{'designator': '15', 'trueHeading': 153, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '108/F/B/W/T'}, 'dimension': {'length': {'value': 2901, 'unit': 0}, 'width': {'value': 60, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 2901, 'unit': 0}, 'lda': {'value': 2901, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148ec1eacded7b7bb6121'}, {'designator': '33', 'trueHeading': 333, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '108/F/B/W/T'}, 'dimension': {'length': {'value': 2901, 'unit': 0}, 'width': {'value': 60, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 2901, 'unit': 0}, 'lda': {'value': 2901, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148ec1eacded7b7bb6122'}, {'designator': '04R', 'trueHeading': 47, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '102/F/B/W/T'}, 'dimension': {'length': {'value': 3500, 'unit': 0}, 'width': {'value': 60, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 3200, 'unit': 0}, 'lda': {'value': 3200, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148ec1eacded7b7bb6123'}, {'designator': '22L', 'trueHeading': 227, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '102/F/B/W/T'}, 'dimension': {'length': {'value': 3500, 'unit': 0}, 'width': {'value': 60, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 3500, 'unit': 0}, 'lda': {'value': 3500, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148ec1eacded7b7bb6124'}, {'designator': '04L', 'trueHeading': 47, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '100/F/A/W/T'}, 'dimension': {'length': {'value': 3060, 'unit': 0}, 'width': {'value': 60, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 3060, 'unit': 0}, 'lda': {'value': 3060, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148ec1eacded7b7bb6125'}, {'designator': '22R', 'trueHeading': 227, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0, 'pcn': '100/F/A/W/T'}, 'dimension': {'length': {'value': 3060, 'unit': 0}, 'width': {'value': 60, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 3000, 'unit': 0}, 'lda': {'value': 3000, 'unit': 0}}, 'pilotCtrlLighting': False, 'visualApproachAids': [1], '_id': '626148ec1eacded7b7bb6126'}]",55,60.32,24.955833333333,POINT (24.955833333333 60.32)
EFHF,2,[0],"[{'designator': '09', 'trueHeading': 96, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 1023, 'unit': 0}, 'width': {'value': 29, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1023, 'unit': 0}, 'lda': {'value': 1023, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ec1eacded7b7bb6146'}, {'designator': '27', 'trueHeading': 276, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 1023, 'unit': 0}, 'width': {'value': 29, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1023, 'unit': 0}, 'lda': {'value': 1023, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ec1eacded7b7bb6147'}, {'designator': '36', 'trueHeading': 186, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 1279, 'unit': 0}, 'width': {'value': 29, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1279, 'unit': 0}, 'lda': {'value': 1279, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ec1eacded7b7bb6148'}, {'designator': '18', 'trueHeading': 6, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 1279, 'unit': 0}, 'width': {'value': 29, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1279, 'unit': 0}, 'lda': {'value': 1279, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ec1eacded7b7bb6149'}]",18,60.255,25.043,POINT (25.043 60.255)
EFHV,2,[0],"[{'designator': '04', 'trueHeading': 40, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 1261, 'unit': 0}, 'width': {'value': 17, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1261, 'unit': 0}, 'lda': {'value': 1261, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148edcb27f42509443462'}, {'designator': '22', 'trueHeading': 220, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 1261, 'unit': 0}, 'width': {'value': 17, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 1261, 'unit': 0}, 'lda': {'value': 1261, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148edcb27f42509443463'}, {'designator': '12', 'trueHeading': 120, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 790, 'unit': 0}, 'width': {'value': 15, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 790, 'unit': 0}, 'lda': {'value': 790, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148edcb27f42509443464'}, {'designator': '30', 'trueHeading': 300, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': False, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 790, 'unit': 0}, 'width': {'value': 15, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 790, 'unit': 0}, 'lda': {'value': 790, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148edcb27f42509443465'}]",131,60.654,24.881,POINT (24.881 60.654)
EFHM,2,[0],"[{'designator': '07', 'trueHeading': 70, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 949, 'unit': 0}, 'width': {'value': 17, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 949, 'unit': 0}, 'lda': {'value': 949, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ed1eacded7b7bb6165'}, {'designator': '25', 'trueHeading': 250, 'alignedTrueNorth': False, 'operations': 0, 'mainRunway': True, 'turnDirection': 2, 'takeOffOnly': False, 'landingOnly': False, 'surface': {'composition': [0], 'mainComposite': 0, 'condition': 0}, 'dimension': {'length': {'value': 949, 'unit': 0}, 'width': {'value': 17, 'unit': 0}}, 'declaredDistance': {'tora': {'value': 949, 'unit': 0}, 'lda': {'value': 949, 'unit': 0}}, 'pilotCtrlLighting': False, '_id': '626148ed1eacded7b7bb6166'}]",137,61.689444444444,23.072777777778,POINT (23.072777777778 61.689444444444)
